 52 3919.035471 2.280E-31 3.235E-01.03660.039 4292.03300.67-.006087              2              0                    P 48      475623 5 8 5 5 1 8   190.0  194.0
 53 3925.396398 2.235E-31 3.258E-01.03740.040 3932.68460.70-.006041              2              0                    P 46      475623 5 8 5 5 3 8    91.0   93.0
 52 3925.635980 5.222E-31 3.261E-01.03700.039 4118.05440.67-.006064              2              0                    P 47      475623 5 8 5 5 1 8   186.0  190.0
 53 3931.848636 4.929E-31 3.284E-01.03780.040 3766.38940.70-.006018              2              0                    P 45      475623 5 8 5 5 3 8    89.0   91.0
 52 3932.177294 1.176E-30 3.287E-01.03740.040 3947.60100.67-.006041              2              0                    P 46      475623 5 8 5 5 1 8   182.0  186.0
 53 3938.241749 1.068E-30 3.310E-01.03820.040 3603.61900.70-.005995              2              0                    P 44      475623 5 8 5 5 3 8    87.0   89.0
 52 3938.659284 2.600E-30 3.313E-01.03780.040 3780.67920.67-.006018              2              0                    P 45      475623 5 8 5 5 1 8   178.0  182.0
 52 3939.008777 1.007E-31 1.051E+00.04130.044 4646.21300.70-.005831              3              1                    P 37      465623 5 8 5 5 2 8   146.0  150.0
 53 3944.575610 2.273E-30 3.337E-01.03860.041 3444.37910.70-.005972              2              0                    P 43      475623 5 8 5 5 3 8    85.0   87.0
 52 3944.918243 1.885E-31 1.059E+00.04170.044 4512.54480.70-.005807              3              1                    P 36      465623 5 8 5 5 2 8   142.0  146.0
 52 3945.081821 5.651E-30 3.340E-01.03820.040 3617.29500.67-.005995              2              0                    P 44      475623 5 8 5 5 1 8   174.0  178.0
 53 3949.624809 1.173E-31 1.067E+00.04270.045 4243.78180.70-.005760              3              1                    P 34      465623 5 8 5 5 2 8    67.0   69.0
 52 3950.767080 3.465E-31 1.068E+00.04220.045 4382.43060.70-.005784              3              1                    P 35      465623 5 8 5 5 2 8   138.0  142.0
 53 3950.850090 4.755E-30 3.364E-01.03900.041 3288.67570.70-.005949              2              0                    P 42      475623 5 8 5 5 3 8    83.0   85.0
 52 3951.444776 1.206E-29 3.367E-01.03860.041 3457.45440.67-.005972              2              0                    P 43      475623 5 8 5 5 1 8   170.0  174.0
 53 3955.326436 2.076E-31 1.076E+00.04320.046 4121.25240.70-.005736              3              1                    P 33      465623 5 8 5 5 2 8    65.0   67.0
 52 3956.555156 6.257E-31 1.076E+00.04270.045 4255.87530.70-.005760              3              1                    P 34      465623 5 8 5 5 2 8   134.0  138.0
 53 3957.065061 9.769E-30 3.391E-01.03950.042 3136.51440.70-.005925              2              0                    P 41      475623 5 8 5 5 3 8    81.0   83.0
 52 3957.748020 2.530E-29 3.394E-01.03900.041 3301.16330.67-.005949              2              0                    P 42      475623 5 8 5 5 1 8   166.0  170.0
 53 3960.967380 3.607E-31 1.084E+00.04380.046 4002.27780.70-.005712              3              1                    P 32      465663 5 8 5 5 2 8    63.0   65.0
 52 3962.282340 1.109E-30 1.085E+00.04320.046 4132.88350.70-.005736              3              1                    P 33      465623 5 8 5 5 2 8   130.0  134.0
 53 3963.220392 1.972E-29 3.418E-01.03990.042 2987.90090.70-.005902              2              0                    P 40      475623 5 8 5 5 3 8    79.0   81.0
